Credit_Card_Exceed_Months,Employment_Type,Loan_Amount,Loan_Tenure_Year,More_Than_One_Products,Credit_Card_More_Than_Months,Number_of_Dependents,Years_to_Financial_Freedom,Number_of_Credit_Card_Facility,Number_of_Properties,Number_of_Bank_Products,Number_of_Loan_to_Approve,Property_Type,Years_for_Property_to_Completion,State,Number_of_Side_Income,Monthly_Salary,Total_Sum_of_Loan,Total_Income_for_Join_Application,Decision,Score
1,employer,,24.0,yes,1,2,5.0,2.0,2.0,,2,condominium,10.0,Johor,1.0,6693.0,1381890.0,13067.0,Accept,7
1,employer,,21.0,no,1,2,5.0,2.0,,1.0,3,condominium,10.0,Johor,2.0,8337.0,673952.0,13691.0,Accept,6
1,employer,177790.0,20.0,yes,1,2,,2.0,2.0,1.0,1,condominium,10.0,Johor,1.0,,1100588.0,,Reject,7
1,employer,307187.0,19.0,no,1,2,,2.0,,,2,condominium,10.0,Johor,,,659895.0,,Reject,8
1,employer,141575.0,,yes,1,2,5.0,2.0,,,3,condominium,,Johor,1.0,,525593.0,16949.0,Accept,9
1,employer,,15.0,no,1,2,5.0,2.0,2.0,1.0,3,condominium,10.0,Johor,,,909020.0,,Accept,6
1,employer,598378.0,13.0,yes,1,2,,2.0,2.0,1.0,2,condominium,,Johor,2.0,11778.0,980732.0,15020.0,Accept,7
1,employer,695823.0,24.0,no,1,2,5.0,,,,1,condominium,10.0,Johor,2.0,,1001510.0,14525.0,Accept,9
1,employer,686314.0,,yes,1,2,5.0,2.0,2.0,,2,condominium,10.0,Johor,,6394.0,783852.0,,Reject,9
1,employer,239044.0,22.0,no,1,2,,,,1.0,3,condominium,10.0,Johor,2.0,,1089965.0,11775.0,Reject,9
1,employer,141133.0,21.0,yes,1,2,,2.0,,,1,condominium,10.0,Johor,,,1233187.0,16077.0,Accept,7
1,employer,402533.0,11.0,no,1,2,5.0,2.0,2.0,1.0,3,condominium,10.0,Johor,2.0,,,17361.0,Accept,7
1,employer,,13.0,yes,1,2,5.0,2.0,2.0,1.0,1,condominium,10.0,Johor,2.0,,911230.0,13055.0,Accept,8
1,employer,557110.0,11.0,no,1,2,5.0,,2.0,1.0,2,condominium,10.0,Johor,2.0,,,14788.0,Accept,7
1,employer,,16.0,yes,1,2,5.0,2.0,,1.0,3,condominium,10.0,Johor,1.0,4753.0,556824.0,15715.0,Accept,9
1,employer,475184.0,15.0,no,1,2,,,2.0,1.0,2,condominium,10.0,Johor,2.0,10244.0,1429656.0,10203.0,Accept,8
1,employer,713740.0,,yes,1,2,,2.0,2.0,,3,condominium,10.0,Johor,,3590.0,1270226.0,,Reject,8
1,employer,777663.0,18.0,no,1,2,5.0,,2.0,,2,condominium,10.0,Johor,2.0,4480.0,1370283.0,16619.0,Accept,7
1,employer,197664.0,18.0,yes,1,2,,,2.0,,1,condominium,10.0,Johor,3.0,4464.0,800328.0,16201.0,Accept,8
1,employer,505385.0,11.0,no,1,2,5.0,,,,2,condominium,10.0,Johor,2.0,,690450.0,8474.0,Accept,6
1,employer,685977.0,24.0,yes,1,2,5.0,2.0,,,1,condominium,10.0,Johor,,5029.0,436358.0,17934.0,Accept,9
1,employer,317361.0,23.0,no,1,2,5.0,,2.0,1.0,2,condominium,10.0,Johor,,8807.0,900288.0,12263.0,Accept,9
1,employer,461385.0,21.0,yes,1,2,5.0,2.0,,1.0,3,condominium,10.0,Johor,1.0,11639.0,884482.0,9536.0,Accept,9
1,employer,,,no,1,2,,,,1.0,2,condominium,10.0,Johor,,8368.0,1366202.0,10966.0,Accept,7
1,employer,522489.0,,yes,1,2,5.0,2.0,,1.0,3,condominium,10.0,Johor,3.0,8157.0,591823.0,17945.0,Accept,7
1,employer,137116.0,,no,1,2,5.0,,,1.0,2,condominium,10.0,Johor,3.0,,,,Accept,7
1,employer,640133.0,17.0,yes,1,2,5.0,2.0,,1.0,2,condominium,10.0,Johor,,3600.0,685876.0,12713.0,Accept,6
1,employer,169182.0,10.0,no,1,2,,2.0,2.0,,2,condominium,10.0,Johor,,9463.0,1223803.0,,Accept,6
1,employer,352362.0,10.0,yes,1,2,5.0,2.0,2.0,,1,condominium,10.0,Johor,3.0,8973.0,1336122.0,9567.0,Accept,9
1,employer,127205.0,15.0,no,1,2,,,,1.0,3,condominium,10.0,Johor,1.0,,464657.0,13331.0,Reject,6
1,employer,409535.0,16.0,yes,1,2,5.0,,2.0,,2,condominium,10.0,Johor,3.0,8118.0,1256233.0,,Accept,6
1,employer,534178.0,16.0,no,1,2,,2.0,2.0,1.0,2,condominium,10.0,Johor,3.0,6855.0,1199910.0,,Accept,8
1,employer,652696.0,16.0,yes,1,2,5.0,2.0,,1.0,2,condominium,10.0,Johor,3.0,,680814.0,12697.0,Reject,9
1,employer,226900.0,16.0,no,1,2,,,,,2,condominium,10.0,Johor,1.0,,679777.0,15057.0,Accept,8
1,employer,452995.0,18.0,yes,1,2,,,,1.0,2,condominium,10.0,Johor,,3688.0,840438.0,16100.0,Reject,6
1,employer,,15.0,no,1,2,5.0,2.0,2.0,1.0,2,condominium,10.0,Johor,2.0,8622.0,1288713.0,19859.0,Reject,7
1,employer,638121.0,17.0,yes,1,2,5.0,2.0,,,3,condominium,,Johor,2.0,11726.0,545646.0,7809.0,Reject,6
1,employer,247875.0,22.0,no,1,2,5.0,2.0,2.0,1.0,1,condominium,10.0,Johor,2.0,12519.0,851018.0,15770.0,Reject,9
1,employer,,,yes,1,2,5.0,2.0,2.0,1.0,2,condominium,,Johor,,10476.0,600309.0,10001.0,Reject,7
1,employer,,19.0,no,1,2,,2.0,2.0,1.0,3,condominium,,Johor,3.0,11799.0,526880.0,,Accept,9
6,employer,696830.0,,yes,1,2,6.0,2.0,2.0,1.0,3,condominium,,Johor,,,1395602.0,9790.0,Accept,9
6,employer,589976.0,17.0,no,1,2,6.0,2.0,,1.0,1,condominium,10.0,Johor,1.0,8281.0,806983.0,18287.0,Accept,8
6,employer,551583.0,11.0,yes,1,2,,2.0,,1.0,3,condominium,10.0,Johor,,10383.0,562038.0,,Accept,8
6,employer,517695.0,18.0,no,1,2,6.0,2.0,,1.0,3,condominium,,Johor,3.0,5428.0,546043.0,,Accept,8
6,employer,614039.0,13.0,yes,1,2,6.0,2.0,2.0,1.0,3,condominium,,Johor,2.0,6684.0,1215501.0,17239.0,Accept,8
6,employer,529936.0,,no,1,2,6.0,2.0,2.0,1.0,2,condominium,10.0,Johor,3.0,7175.0,750247.0,,Reject,7
6,employer,361713.0,,yes,1,2,6.0,2.0,,1.0,3,condominium,10.0,Johor,,10753.0,984563.0,18171.0,Accept,8
6,employer,668010.0,13.0,no,1,2,6.0,2.0,2.0,,2,condominium,10.0,Johor,2.0,7132.0,1302913.0,,Accept,6
6,employer,115453.0,12.0,yes,1,2,6.0,2.0,,,3,condominium,10.0,Johor,2.0,9685.0,,,Reject,8
6,employer,,22.0,no,1,2,6.0,2.0,2.0,1.0,1,condominium,10.0,Johor,2.0,,1202187.0,11512.0,Accept,9
6,employer,436751.0,10.0,yes,1,2,6.0,2.0,2.0,1.0,3,condominium,10.0,Johor,2.0,4466.0,795767.0,,Accept,9
6,employer,260873.0,15.0,no,1,2,6.0,2.0,,1.0,2,condominium,10.0,Johor,,8145.0,432222.0,8619.0,Accept,7
6,employer,469773.0,17.0,yes,1,2,,2.0,2.0,1.0,1,condominium,10.0,Johor,,,1014152.0,17727.0,Reject,8
6,employer,418570.0,17.0,no,1,2,6.0,,2.0,,3,condominium,,Johor,1.0,8955.0,430165.0,,Accept,9
6,employer,741127.0,12.0,yes,1,2,6.0,,2.0,1.0,2,condominium,10.0,Johor,,7573.0,909932.0,17632.0,Accept,7
6,employer,143740.0,20.0,no,1,2,6.0,,2.0,1.0,2,condominium,10.0,Johor,3.0,9350.0,989198.0,,Accept,6
6,employer,,18.0,yes,1,2,6.0,2.0,,1.0,1,condominium,10.0,Johor,,12012.0,877950.0,11217.0,Reject,8
6,employer,584865.0,14.0,no,1,2,6.0,,2.0,,1,condominium,10.0,Johor,,7084.0,1049055.0,17446.0,Accept,9
6,employer,594021.0,16.0,yes,1,2,,2.0,,1.0,1,condominium,10.0,Johor,1.0,3886.0,1072056.0,,Reject,8
6,employer,,15.0,no,1,2,6.0,2.0,,1.0,3,condominium,10.0,Johor,,,462999.0,,Accept,7
6,employer,784252.0,10.0,yes,1,2,,,,1.0,3,condominium,10.0,Johor,1.0,,593755.0,,Accept,7
6,employer,320031.0,22.0,no,1,2,,,2.0,1.0,3,condominium,10.0,Johor,,,1304388.0,12095.0,Accept,9
6,employer,586171.0,,yes,1,2,6.0,2.0,,1.0,2,condominium,,Johor,3.0,8167.0,986044.0,11267.0,Accept,8
6,employer,426166.0,,no,1,2,,2.0,2.0,1.0,2,condominium,10.0,Johor,1.0,4460.0,527257.0,14105.0,Accept,9
6,employer,,22.0,yes,1,2,6.0,2.0,2.0,,3,condominium,10.0,Johor,,12483.0,911219.0,11297.0,Accept,6
6,employer,270671.0,16.0,no,1,2,6.0,2.0,2.0,1.0,1,condominium,,Johor,2.0,9045.0,758809.0,19771.0,Reject,7
6,employer,269188.0,20.0,yes,1,2,6.0,2.0,2.0,1.0,1,condominium,10.0,Johor,,8530.0,602708.0,12392.0,Accept,7
6,employer,,17.0,no,1,2,6.0,2.0,,1.0,2,condominium,10.0,Johor,,3761.0,901079.0,,Reject,8
6,employer,105577.0,20.0,yes,1,2,,2.0,2.0,1.0,1,condominium,10.0,Johor,1.0,6671.0,1338424.0,,Accept,9
6,employer,787954.0,14.0,no,1,2,6.0,2.0,2.0,1.0,3,condominium,10.0,Johor,2.0,4649.0,1158899.0,,Accept,6
6,employer,462446.0,17.0,yes,1,2,6.0,,2.0,1.0,1,condominium,10.0,Johor,3.0,12169.0,924297.0,,Accept,7
6,employer,477993.0,23.0,no,1,2,6.0,2.0,,1.0,1,condominium,10.0,Johor,3.0,3912.0,605985.0,9906.0,Reject,8
6,employer,489336.0,17.0,yes,1,2,6.0,2.0,2.0,,2,condominium,10.0,Johor,1.0,,1337201.0,10205.0,Accept,7
6,employer,513874.0,,no,1,2,6.0,,,1.0,2,condominium,10.0,Johor,3.0,4144.0,1073726.0,13200.0,Accept,7
6,employer,656453.0,,yes,1,2,6.0,2.0,,1.0,3,condominium,,Johor,2.0,,,,Accept,8
6,employer,609577.0,16.0,no,1,2,,2.0,2.0,1.0,2,condominium,10.0,Johor,2.0,9671.0,677064.0,,Accept,7
6,employer,386539.0,15.0,yes,1,2,,2.0,2.0,1.0,3,condominium,,Johor,3.0,,1319239.0,9775.0,Accept,8
6,employer,137642.0,16.0,no,1,2,6.0,2.0,,,3,condominium,10.0,Johor,1.0,4940.0,842850.0,12586.0,Reject,6
6,employer,183586.0,17.0,yes,1,2,6.0,2.0,2.0,1.0,3,condominium,10.0,Johor,2.0,8191.0,1427018.0,,Reject,7
6,employer,527945.0,18.0,no,1,2,6.0,2.0,2.0,,1,condominium,,Johor,3.0,6345.0,1391346.0,,Accept,9
6,employer,676083.0,23.0,yes,1,2,6.0,,2.0,,3,condominium,10.0,Johor,3.0,8945.0,438094.0,8358.0,Accept,8
6,employer,401931.0,,no,1,2,6.0,2.0,2.0,1.0,2,condominium,10.0,Johor,,8214.0,472127.0,8037.0,Accept,9
6,employer,,23.0,yes,1,2,6.0,,2.0,1.0,2,condominium,10.0,Johor,,4938.0,934288.0,19728.0,Accept,8
6,employer,693005.0,,no,1,2,6.0,2.0,,1.0,2,condominium,,Johor,3.0,3699.0,623478.0,,Accept,9
6,employer,,12.0,yes,1,2,6.0,2.0,2.0,1.0,3,condominium,10.0,Johor,3.0,4008.0,552448.0,,Accept,8
6,employer,740785.0,12.0,no,1,2,6.0,2.0,2.0,1.0,1,condominium,10.0,Johor,3.0,8222.0,842418.0,7731.0,Accept,8
6,employer,557554.0,,yes,1,2,6.0,,,1.0,1,condominium,,Johor,,8932.0,646904.0,9306.0,Accept,6
6,employer,242183.0,23.0,no,1,2,,2.0,2.0,1.0,1,condominium,10.0,Johor,3.0,,1307524.0,12481.0,Accept,8
6,employer,173436.0,22.0,yes,1,2,6.0,2.0,2.0,1.0,3,condominium,10.0,Johor,,12246.0,1214167.0,,Accept,7
6,employer,237187.0,17.0,no,1,2,6.0,2.0,,1.0,2,condominium,10.0,Johor,,6858.0,1172482.0,8439.0,Accept,8
6,employer,331828.0,12.0,yes,1,2,,2.0,2.0,,1,condominium,10.0,Johor,,9975.0,873957.0,,Accept,8
6,employer,,14.0,no,1,2,6.0,2.0,2.0,1.0,1,condominium,10.0,Johor,,6134.0,849370.0,7725.0,Reject,6
6,employer,151474.0,22.0,yes,1,2,,2.0,,,3,condominium,10.0,Johor,1.0,,753494.0,9126.0,Reject,7
6,employer,635895.0,13.0,no,1,2,6.0,2.0,2.0,1.0,2,condominium,10.0,Johor,,9895.0,1334964.0,14696.0,Accept,7
6,employer,,21.0,yes,1,2,6.0,2.0,2.0,,2,condominium,10.0,Johor,3.0,10954.0,923249.0,,Accept,8
6,employer,,22.0,no,1,2,6.0,,2.0,1.0,2,condominium,10.0,Johor,3.0,12191.0,,,Reject,7
6,employer,,,yes,1,2,6.0,,,1.0,3,condominium,10.0,Johor,,5530.0,1146292.0,16147.0,Accept,6
6,employer,593441.0,11.0,no,1,2,6.0,2.0,,1.0,1,condominium,,Johor,2.0,,1397221.0,17395.0,Reject,7
6,employer,202336.0,22.0,yes,1,2,,,2.0,1.0,2,condominium,,Johor,,,859039.0,,Accept,9
6,employer,440879.0,18.0,no,1,2,,,2.0,1.0,1,condominium,10.0,Johor,2.0,7039.0,727197.0,10504.0,Accept,7
6,employer,275895.0,,yes,1,2,6.0,2.0,2.0,1.0,2,condominium,10.0,Johor,1.0,,440704.0,19217.0,Accept,8
6,employer,192042.0,17.0,no,1,2,6.0,,,1.0,3,condominium,10.0,Johor,2.0,11707.0,787581.0,,Accept,8
6,employer,144562.0,22.0,yes,1,2,6.0,2.0,2.0,,2,condominium,10.0,Johor,1.0,8236.0,,16914.0,Accept,7
6,employer,540001.0,,no,1,2,,2.0,,,3,condominium,10.0,Johor,3.0,8602.0,1113986.0,,Accept,7
6,employer,254064.0,,yes,1,2,6.0,2.0,2.0,1.0,2,condominium,,Johor,3.0,9043.0,787944.0,18526.0,Accept,9
6,employer,191277.0,,no,1,2,6.0,2.0,2.0,,2,condominium,10.0,Johor,1.0,11987.0,742295.0,,Accept,9
6,employer,165333.0,18.0,yes,1,2,6.0,2.0,2.0,1.0,2,condominium,10.0,Johor,3.0,,1336811.0,,Accept,9
6,employer,602067.0,20.0,no,1,2,,2.0,,,2,condominium,,Johor,2.0,5406.0,786869.0,,Accept,7
6,employer,388865.0,,yes,1,2,6.0,2.0,2.0,1.0,3,condominium,10.0,Johor,,,1388365.0,,Accept,8
6,employer,,22.0,no,1,2,6.0,2.0,2.0,1.0,2,condominium,10.0,Johor,,11899.0,420576.0,16052.0,Accept,9
6,employer,708619.0,,yes,1,2,6.0,2.0,2.0,,2,condominium,10.0,Johor,1.0,4658.0,1440306.0,17423.0,Accept,9
6,employer,,13.0,no,1,2,6.0,2.0,,1.0,2,condominium,10.0,Johor,1.0,6358.0,984358.0,8233.0,Accept,7
6,employer,371469.0,12.0,yes,1,2,,2.0,,,3,condominium,10.0,Johor,2.0,9980.0,734075.0,14810.0,Accept,6
6,employer,314438.0,17.0,no,1,2,6.0,2.0,2.0,,2,condominium,10.0,Johor,,7222.0,428416.0,12522.0,Accept,8
6,employer,277066.0,23.0,yes,1,2,6.0,,2.0,,3,condominium,10.0,Johor,1.0,,898568.0,8769.0,Accept,8
6,employer,206912.0,13.0,no,1,2,6.0,,2.0,1.0,3,condominium,10.0,Johor,2.0,12098.0,,8469.0,Accept,7
6,employer,311541.0,,yes,1,2,6.0,2.0,2.0,1.0,1,condominium,10.0,Johor,3.0,4808.0,1341881.0,9013.0,Accept,7
6,employer,584422.0,10.0,no,1,2,,,2.0,1.0,3,condominium,10.0,Johor,1.0,,1435095.0,15133.0,Reject,8
6,employer,208272.0,23.0,yes,1,2,6.0,2.0,,1.0,3,condominium,10.0,Johor,,9005.0,723345.0,13687.0,Accept,9
6,employer,653510.0,20.0,no,1,2,6.0,2.0,2.0,1.0,3,condominium,10.0,Johor,,11859.0,1446900.0,10811.0,Accept,7
6,employer,180804.0,,yes,1,2,6.0,2.0,2.0,1.0,2,condominium,,Johor,,11098.0,1331507.0,,Accept,6
6,employer,639935.0,22.0,no,1,2,6.0,2.0,2.0,1.0,1,condominium,10.0,Johor,,11521.0,848025.0,8134.0,Accept,6
6,employer,,17.0,yes,1,2,,,,,1,condominium,10.0,Johor,3.0,,849337.0,,Accept,8
6,employer,159785.0,14.0,no,1,2,6.0,2.0,2.0,1.0,1,condominium,10.0,Johor,,7030.0,1140469.0,,Accept,9
6,employer,502899.0,23.0,yes,1,2,6.0,2.0,,1.0,2,condominium,10.0,Johor,2.0,8004.0,767665.0,,Accept,9
6,employer,738038.0,17.0,no,1,2,6.0,2.0,,,1,condominium,10.0,Johor,1.0,4446.0,476535.0,,Reject,9
6,employer,318244.0,,yes,1,2,6.0,2.0,,,1,condominium,10.0,Johor,,12337.0,1134223.0,19501.0,Accept,8
6,employer,424268.0,11.0,no,1,2,6.0,2.0,2.0,1.0,3,condominium,10.0,Johor,,8760.0,1406634.0,15761.0,Accept,6
6,employer,687914.0,,yes,1,2,,2.0,2.0,1.0,2,condominium,10.0,Johor,2.0,,534165.0,8941.0,Accept,6
6,employer,304063.0,15.0,no,1,2,6.0,,,1.0,2,condominium,10.0,Johor,2.0,,420268.0,9518.0,Reject,8
6,employer,324626.0,24.0,yes,1,2,,,,,3,condominium,,Johor,,11727.0,,15521.0,Accept,6
6,employer,449140.0,21.0,no,1,2,,2.0,2.0,1.0,2,condominium,,Johor,,,,,Accept,6
6,employer,570416.0,17.0,yes,1,2,6.0,,2.0,,1,condominium,10.0,Johor,1.0,6297.0,1338876.0,14094.0,Accept,9
6,employer,,11.0,no,1,2,6.0,2.0,2.0,,3,condominium,10.0,Johor,2.0,,1275482.0,,Accept,9
6,employer,,17.0,yes,1,2,6.0,2.0,,1.0,1,condominium,,Johor,,,717042.0,10691.0,Reject,9
6,employer,238022.0,,no,1,2,6.0,2.0,2.0,1.0,2,condominium,,Johor,3.0,7330.0,801624.0,19817.0,Accept,9
6,employer,,15.0,yes,1,2,6.0,,2.0,1.0,3,condominium,10.0,Johor,,6118.0,753478.0,17923.0,Accept,8
6,employer,619477.0,18.0,no,1,2,6.0,,2.0,1.0,1,condominium,10.0,Johor,1.0,11968.0,906233.0,,Accept,8
6,employer,680649.0,,yes,1,2,6.0,2.0,2.0,,3,condominium,,Johor,3.0,6376.0,441212.0,18404.0,Accept,8
6,employer,291391.0,11.0,no,1,2,6.0,2.0,,1.0,2,condominium,10.0,Johor,2.0,6551.0,1423554.0,,Accept,9
2,Self_Employed,456764.0,11.0,yes,1,2,,6.0,2.0,2.0,2,condominium,11.0,Johor,,9999.0,1334324.0,12142.0,Reject,7
2,Self_Employed,277808.0,16.0,no,1,2,7.0,,2.0,2.0,1,condominium,11.0,Johor,,5994.0,920143.0,15724.0,Accept,9
2,Self_Employed,,21.0,yes,1,2,7.0,,,,3,condominium,11.0,Johor,3.0,,726880.0,18518.0,Accept,8
